                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7492,                 0.6781,                0.97524,                 1.6667,             0.00023491,             0.00023491,             0.00023491
                      2,                0.82077,                0.85714,                0.99619,                 1.3717,             0.00042609,             0.00042609,             0.00042609
                      3,                0.47473,                 0.9219,                      1,                 1.2881,             0.00057015,             0.00057015,             0.00057015
                      4,                0.31658,                0.94857,                      1,                 1.2467,             0.00050194,             0.00050194,             0.00050194
                      5,                0.28848,                0.95429,                0.99619,                  1.231,             0.00043126,             0.00043126,             0.00043126
                      6,                0.23902,                0.96571,                      1,                 1.2156,             0.00036057,             0.00036057,             0.00036057
                      7,                0.20793,                0.96762,                      1,                 1.2144,             0.00028988,             0.00028988,             0.00028988
                      8,                0.17331,                0.97143,                      1,                 1.2075,              0.0002192,              0.0002192,              0.0002192
                      9,                0.15117,                0.97333,                      1,                 1.2031,             0.00014851,             0.00014851,             0.00014851
                     10,                0.13643,                0.97333,                      1,                 1.2057,             7.7826e-05,             7.7826e-05,             7.7826e-05
